* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
223.030122	51.952437
226.274170	51.898063
229.565404	51.843689
232.904509	51.789315
236.292183	51.734941
239.729132	51.664112
243.216073	51.607743
246.753732	51.535025
250.342848	51.474601
253.984168	51.393020
257.678453	51.316741
261.426473	51.257477
265.229008	51.175912
269.086853	51.116848
273.000811	51.040351
276.971700	50.958803
281.000346	50.880169
285.087590	50.823223
289.234284	50.741691
293.441294	50.660087
297.709496	50.589193
302.039780	50.524576
306.433050	50.443591
310.890221	50.388960
315.412224	50.316537
320.000000	50.269111
324.654507	50.236498
329.376716	50.203914
334.167610	50.171156
339.028190	50.199562
343.959469	50.230920
348.962474	50.258002
354.038251	50.288294
359.187855	50.329101
364.412363	50.381670
369.712863	50.436042
375.090460	50.478940
380.546277	50.515741
386.081450	50.548433
391.697134	50.564165
397.394500	50.575636
403.174736	50.587274
409.039048	50.599081
414.988657	50.611010
421.024807	50.622360
427.148753	50.633876
433.361775	50.645559
439.665167	50.657411
446.060244	50.676124
452.548340	50.708742
459.130807	50.746569
465.809019	50.799169
472.584367	50.880775
479.458265	50.962298
486.432146	51.071437
493.507464	51.153026
500.685695	51.289714
507.968337	51.398853
515.356906	51.523414
522.852945	51.631393
530.458016	51.726273
538.173706	51.835413
546.001623	51.916965
553.943399	51.976929
562.000691	52.049719
570.175180	52.104099
578.468569	52.156841
586.882588	52.189339
595.418991	52.222002
604.079560	52.254646
612.866100	52.287208
621.780442	52.320030
630.824447	52.360711
640.000000	52.401461
649.309014	52.439833
658.753431	52.472437
668.335221	52.510021
678.056380	52.554358
687.918938	52.608736
697.924949	52.663115
708.076501	52.717494
718.375711	52.777335
728.824726	52.858908
739.425726	52.940467
750.180921	53.022029
761.092554	53.103600
772.162900	53.185151
783.394268	53.266734
794.789000	53.348274
806.349472	53.457410
818.078095	53.539010
829.977315	53.620535
842.049613	53.702147
854.297507	53.811289
866.723550	53.920431
879.330334	54.029737
892.120489	54.166218
905.096680	54.300835
918.261614	54.463957
931.618037	54.627080
945.168733	54.834084
958.916529	55.008475
972.864291	55.210846
987.014928	55.389871
1001.371391	55.608144
1015.936673	55.803569
1030.713812	55.989543
1045.705890	56.207817
1060.916032	56.426091
1076.347412	56.612262
1092.003245	56.807494
1107.886798	57.025770
1124.001383	57.244046
1140.350359	57.462323
1156.937137	57.625453
1173.765175	57.843731
1190.837983	58.062009
1208.159120	58.229693
1225.732199	58.443420
1243.560885	58.661699
1261.648894	58.824821
1280.000000	59.043090
1298.618029	59.206213
1317.506863	59.424483
1336.670442	59.587606
1356.112761	59.750730
1375.837875	59.866834
1395.849898	60.021833
1416.153002	60.140248
1436.751422	60.237790
1457.649452	60.345770
1478.851452	60.435519
1500.361842	60.494070
1522.185107	60.562608
1544.325799	60.616984
1566.788535	60.659121
1589.577999	60.686282
1612.698944	60.710637
1636.156190	60.730900
1659.954630	60.751458
1684.099226	60.744595
1708.595013	60.726550
1733.447100	60.708244
1758.660669	60.686706
1784.240977	60.663407
1810.193360	60.637146
1836.523229	60.604539
1863.236074	60.571951
1890.337467	60.539198
1917.833058	60.499106
1945.728583	60.458339
1974.029857	60.419312
2002.742782	60.386745
2031.873347	60.357030
2061.427625	60.329836
2091.411780	60.299903
2121.832065	60.267204
2152.694823	60.239125
2184.006490	60.211821
2215.773596	60.191896
2248.002765	60.173834
2280.700718	60.155509
2313.874274	60.144624
2347.530351	60.136282
2381.675966	60.127819
2416.318240	60.119233
2451.464399	60.110521
2487.121769	60.101683
2523.297789	60.093232
2560.000000	60.085768
2597.236057	60.078195
2635.013726	60.070512
2673.340883	60.062717
2712.225522	60.054809
2751.675750	60.046785
2791.699796	60.036048
2832.306004	60.015843
2873.502844	59.995345
2915.298905	59.968638
2957.702904	59.935933
3000.723683	59.885372
3044.370214	59.842080
3088.651599	59.782544
3133.577071	59.700957
3179.155999	59.619421
3225.397888	59.537822
3272.312380	59.428681
3319.909260	59.319539
3368.198452	59.210397
3417.190027	59.099560
3466.894200	58.936965
3517.321337	58.828448
3568.481954	58.665326
3620.386720	58.557351
3673.046457	58.394228
3726.472148	58.286251
3780.674934	58.171874
3835.666117	58.103709
3891.457165	58.076627
3948.059713	58.060969
4005.485564	58.088040
4063.746693	58.141028
4122.855250	58.249008
4182.823560	58.438240
4243.664130	58.709349
4305.389646	58.980458
4368.012981	59.325881
4431.547192	59.704974
4496.005531	60.084068
4561.401437	60.506080
4627.748549	60.887488
4695.060701	61.213750
4763.351932	61.540013
4832.636481	61.866277
4902.928797	62.191859
4974.243539	62.463644
5046.595577	62.683547
5120.000000	62.950692
5194.472115	63.175234
5270.027452	63.393504
5346.681766	63.611775
5424.451043	63.830046
5503.351500	64.048318
5583.399591	64.266591
5664.612008	64.484864
5747.005687	64.733480
5830.597810	65.004586
5915.405808	65.275693
6001.447367	65.546802
6088.740429	65.894146
6177.303198	66.254463
6267.154142	66.635868
6358.311998	67.017274
6450.795775	67.410522
6544.624761	67.789619
6639.818520	68.154279
6736.396904	68.432614
6834.380053	68.701130
6933.788400	68.919410
7034.642675	69.055907
7136.963909	69.110914
7240.773439	69.127674
7346.092914	69.086821
7452.944296	69.007541
7561.349867	68.877587
7671.332234	68.761663
7782.914330	68.624979
7896.119426	68.498507
8010.971128	68.379115
8127.493386	68.305067
8245.710500	68.264281
8365.647121	68.230391
8487.328260	68.206763
8610.779292	68.239292
8736.025961	68.242772
8863.094385	68.210097
8992.011061	68.140195
9122.802874	68.058667
9255.497097	67.917331
9390.121402	67.692224
9526.703863	67.365960
9665.272962	66.984549
9805.857594	66.548090
9948.487077	66.003577
10093.191154	65.408654
10240.000000	64.756163
10388.944230	64.204591
10540.054903	63.616618
10693.363532	63.060407
10848.902086	62.571034
11006.703001	62.118165
11166.799182	61.736767
11329.224017	61.465662
11494.011375	61.224116
11661.195620	61.060989
11830.811616	60.964737
12002.894734	60.937559
12177.480858	60.910355
12354.606395	60.883188
12534.308283	60.796818
12716.623996	60.496653
12901.591551	59.874850
13089.249521	58.995300
13279.637040	57.948488
13472.793808	56.584159
13668.760107	54.946888
13867.576801	53.042652
14069.285350	50.870222
14273.927818	48.376180
14481.546879	46.100115
14692.185828	46.535732
14905.888592	49.722148
15122.699734	52.542263
15342.664467	54.380285
15565.828661	56.301671
15792.238852	57.473431
16021.942256	57.810896
16254.986772	57.917722
16491.420999	57.972097
16731.294241	58.039807
16974.656520	58.088156
17221.558584	58.085363
17472.051922	57.927250
17726.188769	57.568097
17984.022122	57.010581
18245.605748	56.302913
18510.994194	55.540095
18780.242805	54.887570
19053.407727	54.349077
19330.545924	53.971404
19611.715189	53.781758
19896.974155	53.807219
20186.382308	54.023891
